Dataset_name,Correlation,p-value
7_r_Se,0.18,0.050850125
7_m_Mi,0.32,0.005027654
7_m_Lo,0.72,9.53E-07
7_m_Se,0.27,0.00762219
7_m_Ca,0.83,7.40E-06
7_m_Br,0.92,3.23E-10
7_m_Bo,-0.56,0.005628902
7_h_He,0.68,0.028882798
7_r_So,0.51,0.009965259
7_m_St,0.21,0.395116165
7_rab_Mu,0.79,3.81E-06
94_m_We,0.64,9.18E-21
94_m_Va,0.13,0.31783329
94_r_Fr,0.61,2.30E-73
94_r_We,0.21,0.031615861
94_g_We,0.97,1.58E-39
94c_m_As,0.95,1.83E-08
94_m_As,-0.05,0.859540943
94_m_Rei,0.03,0.933772958
117_m_Ra,0.26,2.35E-06
117_m_Ri,0.25,0.032350439
117_m_Vr,0.17,0.477017149
164_m_Ku,-0.45,7.00E-24
